,No_Obs,Mean,Variance,Std_Dev,Q25,Q50,Q75
AGG,454,0.00026575697622256976,3.5710678035142804e-05,0.005975841198956245,-0.0029997272975183,0.0002374460861532,0.003894376899696
VAW,454,0.001793790119444702,0.001301973052671574,0.036082863698320485,-0.0162484801591688,0.004797924867817599,0.0197368421052631
IWN,454,0.0011876792478567023,0.0010249901098059928,0.03201546672791126,-0.0143489178524452,0.0031196368251431503,0.0190602836879433
SPY,454,0.0013601054498460002,0.0006143462925621239,0.02478601001698587,-0.0113568883610451,0.0042157880121018,0.0145228215767634
