,AGG,VAW,IWN,SPY
AGG,3.57106780351428e-05,-4.260067584144263e-05,-2.5878257835503302e-05,-3.239567498811263e-05
VAW,-4.260067584144263e-05,0.0013019730526715738,0.000983823657172545,0.00079271694663873
IWN,-2.5878257835503302e-05,0.000983823657172545,0.001024990109805993,0.0007221941469236401
SPY,-3.239567498811263e-05,0.00079271694663873,0.0007221941469236401,0.0006143462925621239
