,AGG,VAW,IWN,SPY
AGG,1.0,-0.197567927075587,-0.13526210757809404,-0.2187164077169928
VAW,-0.197567927075587,1.0,0.8516407352552667,0.8863607655757079
IWN,-0.13526210757809404,0.8516407352552667,1.0,0.9100966295790667
SPY,-0.2187164077169928,0.8863607655757079,0.9100966295790667,1.0
